Adilabad,Nizamabad,Karimnagar,Warangal,Khammam
32.823574,32.42539,31.680819,32.534016,36.62228
33.582336,30.836605,31.103083,32.661755,34.790005
35.088795,33.660126,32.79181,32.450184,35.82653
35.5411,30.577028,32.150543,32.51993,37.379734
34.989166,31.945103,31.098665,32.261253,36.611935
34.95843,30.35389,32.236835,32.38398,33.291237
35.89354,31.790558,33.60953,34.319744,33.995083
30.889236,33.7086,34.394527,34.58774,33.164165
33.12482,35.79739,33.730026,35.259686,35.169086
31.456575,34.313343,31.878193,34.869286,32.864056
29.475348,32.880188,31.089218,35.216835,33.655937
29.102396,36.34534,31.790588,35.719265,35.140537
28.971571,33.989826,32.01197,35.1591,35.4152
29.936089,33.99714,33.031227,34.90279,32.041946
31.013607,34.6882,32.340107,34.93878,32.05988
30.154148,35.932262,33.877552,35.277996,34.710068
30.917927,35.479034,33.888973,35.373684,35.361725
31.250153,36.366245,33.97248,33.763474,35.621155
31.556744,36.674934,34.6605,33.948154,35.4932
31.494091,35.18511,34.312637,34.937183,35.74483
31.370783,35.081493,34.87392,35.368656,35.60363
31.47623,36.05999,34.461845,35.441273,35.617622
31.732891,36.068626,35.703873,36.864296,35.64545
33.77967,36.115356,36.084858,36.731686,36.064175
34.361526,34.854385,36.271614,36.37652,36.322193
34.15069,34.774433,35.112473,36.0822,35.825916
34.284607,33.01584,33.871994,36.829346,36.27978
33.78177,34.415092,31.758125,37.572815,36.077305
34.558647,33.36469,33.457203,38.34437,36.233315
34.664726,29.770332,33.05759,38.304813,36.323196
33.355137,30.243935,28.828798,37.986443,36.520164
34.022964,32.15395,29.25792,33.444534,36.221493
33.256916,31.95423,31.189398,31.074152,36.07566
32.477932,30.887611,31.31039,30.193155,36.27922
29.54845,28.578163,29.797619,29.949112,34.59687
29.019873,29.16576,28.709906,30.24767,36.578156
31.154137,31.309235,28.480455,29.7829,36.190254
31.793343,29.978271,30.0399,29.70795,35.87017
31.03762,27.663353,28.927065,29.572142,36.214783
29.360247,29.505466,26.875076,29.474041,35.928284
30.552498,31.726522,28.91354,29.476416,36.3403
32.826992,33.36749,30.896978,28.104374,36.633453
32.634502,34.11762,31.326473,27.508108,35.95411
32.6649,34.157948,32.001343,28.524395,35.917904
30.278364,34.145226,32.139904,28.820303,34.476418
31.601871,31.04178,30.575476,27.21303,34.19677
34.309357,33.997643,30.315735,27.552868,35.73636
34.45115,34.18447,30.911842,29.075567,36.43428
30.994858,34.933548,32.406715,29.655775,36.274273
31.106571,32.726578,32.925278,30.140846,36.222748
31.975348,34.288788,31.994576,30.258379,36.463207
32.693333,35.05548,32.72021,28.809465,36.008366
32.865185,34.822906,32.97998,28.307386,35.89885
32.520702,34.61044,33.948742,28.447657,36.219986
31.269146,34.550556,33.600742,30.524897,36.38454
30.271238,33.913273,33.068504,31.781084,35.79858
32.54606,33.49262,32.677258,32.12969,36.73464
33.351547,34.8535,31.766731,32.178303,36.19059
34.60561,35.285004,32.924145,31.487276,36.813923
34.648823,35.18107,33.96521,32.448967,36.91119
34.449574,35.252758,34.464268,31.434912,38.126335
36.15172,32.93767,34.7875,31.37775,36.73387
35.72334,35.14407,33.857204,29.516827,35.922207
35.138187,34.631844,34.481037,28.249325,35.84099
35.314842,34.523006,34.77488,27.334349,34.643078
35.019524,35.37023,35.097218,26.949797,34.71615
35.118366,34.727093,34.71996,26.73191,33.293217
35.536053,34.5971,34.590862,27.262333,33.46055
35.345314,33.664192,34.754448,29.580528,34.06077
32.01532,36.252193,33.996456,31.401329,34.080627
34.36332,30.751333,33.609478,29.8257,35.19709
36.148495,34.09151,28.822817,30.396816,35.79134
36.346474,36.08247,31.330061,31.292479,35.41785
36.11293,35.8822,32.830364,31.737528,34.89505
36.138103,36.231228,34.06353,30.859098,32.613903
35.966007,35.854095,34.09423,30.398668,32.515663
36.01952,36.35553,33.312466,28.878786,34.941505
36.26651,35.027332,34.02967,29.469418,34.375496
35.80082,35.470306,34.225174,30.362978,34.821857
36.035748,36.208878,34.836987,30.375444,35.35714
35.16848,34.805355,35.06523,31.236273,36.49599
35.692993,34.6061,34.887863,32.012634,35.539528
36.81069,34.5684,33.38901,32.114223,37.158176
38.188816,35.86054,33.070953,32.069054,35.231014
33.262505,34.15305,32.948544,32.2299,35.148735
33.188316,33.469105,33.585716,32.36798,35.013435
34.85495,34.34281,31.570791,32.675407,33.848972
34.204403,33.781345,32.35357,32.92191,33.54292
34.06062,33.255825,32.306873,31.379955,34.60771
33.75234,33.779156,32.308907,31.998087,34.40589
33.611073,31.315624,31.85838,32.63839,34.679546
30.442457,28.980055,31.692192,32.60603,35.107243
29.74243,31.468975,31.325441,31.693066,33.791473
32.076466,32.032257,28.789164,31.720625,34.552338
33.03445,32.552452,29.828575,30.975853,34.632812
32.82455,32.42814,30.769062,28.866604,32.707767
33.47515,32.22886,31.201859,29.363792,32.894455
33.709396,33.81098,30.98143,30.543318,32.94715
33.44545,33.744263,31.122759,31.485075,34.2445
32.315556,33.51628,31.432358,31.961939,34.503033
31.90716,32.73639,31.754171,32.181534,34.894974
33.09408,31.394497,31.12905,32.25688,35.38189
33.223854,33.06962,30.373524,31.585232,34.19927
33.630997,32.237015,30.138235,30.457098,32.20161
33.95233,32.774105,31.054718,30.784342,33.75362
33.83118,33.985493,31.26169,31.27006,34.068905
33.336666,34.155323,31.483784,31.41823,36.578728
32.4624,33.934746,31.919415,31.768173,35.293148
34.6025,34.265793,32.341003,32.26446,36.452927
33.96678,33.08352,32.038723,32.24406,35.275208
33.543312,32.441692,31.882746,32.038704,35.135536
33.69503,32.61372,32.0872,32.27314,34.465576
34.381165,32.816097,32.113167,31.958609,33.17695
34.562042,32.135433,32.714787,32.584633,32.314312
34.56991,32.101395,31.860548,32.414326,35.479355
34.074955,31.651241,31.35649,32.472702,35.92153
34.33496,32.01718,31.92811,32.013866,36.260036
33.712986,32.161808,32.243988,32.612404,34.97378
33.50137,32.2535,32.011246,32.868656,34.41611
33.382027,31.62065,31.704058,32.8904,34.30663
33.282883,31.214985,31.028164,32.374184,34.701164
32.744965,30.727663,30.120348,32.44002,34.816547
32.46027,31.903416,30.775373,31.139795,35.330246
31.95665,30.670614,30.214039,29.901972,34.44505
31.112446,33.518097,31.014324,30.22474,34.61304
31.738235,32.381935,31.473999,30.349583,31.701387
32.515778,32.27536,31.838455,31.601658,32.355305
32.859253,32.679783,32.09481,31.74752,33.76409
32.62358,32.601723,31.790775,31.263409,33.982216
32.31481,32.68488,31.581423,31.875267,35.384983
32.926918,32.234047,31.858383,30.969444,35.72555
33.753117,31.258923,32.003517,30.405668,37.04171
33.4866,31.401245,31.391003,30.440182,36.446266
33.70854,31.079443,31.70978,31.301355,36.109386
33.082653,34.885555,32.194298,31.92504,36.10792
32.680546,34.05175,32.21562,32.170128,35.968994
32.44179,35.521797,32.14618,32.370033,36.25152
31.062733,33.911095,32.042458,32.226368,34.81137
31.120184,33.306732,31.870535,31.899992,35.78407
27.861965,32.917953,31.049948,31.349487,35.92691
31.362297,32.655167,30.512634,30.655956,35.78594
